Source,City,State,Date,Link,Item(s),Age,Gender,Race,Profession,Perpetrator/Victim/Other,Crime,Notes
NYT,New York,New York,12/22/1880,https://www.nytimes.com/1880/12/22/archives/missing-from-his-friends-anxiety-about-a-frenchman-who-had-money-in.html,money,52,m,French,businessman,Victim,Missing Person,
The Morehouse clarion. [volume],Ringgold,Louisiana,3/4/1881,https://chroniclingamerica.loc.gov/lccn/sn86053659/1881-03-04/ed-1/seq-4/#words=from+his+pocket,gun,young,m,,members of families of high standing,Perpetrator,Attempted Murder,
The Sedalia weekly bazoo. [volume],Sedalia,Missouri,3/15/1881,https://chroniclingamerica.loc.gov/lccn/sn90061066/1881-03-15/ed-1/seq-3/#words=in+his+pocketbook,money,,m,Black,,Perpetrator,Theft,
The Sedalia weekly bazoo. [volume],Sedalia,Missouri,3/15/1881,https://chroniclingamerica.loc.gov/lccn/sn90061066/1881-03-15/ed-1/seq-3/#words=in+his+pocketbook,money,,m,,,Victim,Theft,
NYT,New York,New York,5/18/1881,https://www.nytimes.com/1881/05/18/archives/miscellaneous-city-news-probable-suicide-by-a-child-effie-person.html,money,,m,,clerk of piano store,Victim,Theft,
NYT,New York,New York,5/18/1881,https://www.nytimes.com/1881/05/18/archives/miscellaneous-city-news-probable-suicide-by-a-child-effie-person.html,gun,14,f,,daughter of clerk of piano company,Victim,Suicide,
NYT,New York,New York,5/18/1881,https://www.nytimes.com/1881/05/18/archives/miscellaneous-city-news-probable-suicide-by-a-child-effie-person.html,money,,m,,clerk of piano store,Victim,Theft,
NYT,New York,New York,5/18/1881,https://www.nytimes.com/1881/05/18/archives/miscellaneous-city-news-probable-suicide-by-a-child-effie-person.html,gun,14,f,,daughter of clerk of piano company,Victim,Suicide,
NYT,Bradford,Pennsylvania,6/20/1881,https://www.nytimes.com/1881/06/20/archives/an-unknown-body-found.html,bill,45,m,,well dressed,Victim,Unidentified body,
Daily evening bulletin. [volume],Flemingsburg,Kentucky,12/9/1881,https://chroniclingamerica.loc.gov/lccn/sn86069124/1881-12-09/ed-1/seq-1/#words=from+his+pocket,gun,18,m,,,Perpetrator,Rape,
NYT,New York,New York,12/26/1881,https://timesmachine.nytimes.com/timesmachine/1881/12/26/106238338.html?pageNumber=8,"money, note",,f,,,Victim,Theft,
The Silver state. [volume],Unionville,Nevada,1/21/1882,https://chroniclingamerica.loc.gov/lccn/sn84022060/1882-01-21/ed-1/seq-3/#words=from+his+pockets,money,,m,,,Victim,Theft,
Evening bulletin. [volume],New York,New York,2/25/1882,https://chroniclingamerica.loc.gov/lccn/sn86069125/1882-02-25/ed-1/seq-3/#words=on+his+person,"letter, money",,m,,,Perpetrator,Counterfeiter,
NYT,Chicago,Illinois,4/24/1882,https://www.nytimes.com/1882/04/24/archives/a-street-murder-in-chicago-an-unknown-man-killedthe-murderers.html,"card, ",,m,,,Victim,Murder,
NYT,Chicago,Illinois,4/24/1882,https://www.nytimes.com/1882/04/24/archives/a-street-murder-in-chicago-an-unknown-man-killedthe-murderers.html,"money, gun",,m,,Farmer,Perpetrator,Murder,
NYT,New York,New York,7/7/1882,https://www.nytimes.com/1882/07/07/archives/steve-raymond-in-custody-a-noted-forger-caught-with-skeleton-keys.html,"burglar's tools, key",middle aged,m,,forger,Perpetrator,"Assault, Theft",
NYT,New York,New York,7/7/1882,https://www.nytimes.com/1882/07/07/archives/steve-raymond-in-custody-a-noted-forger-caught-with-skeleton-keys.html,watch,,m,,,Victim,"Assault, Theft",
NYT,New York,New York,7/7/1882,https://www.nytimes.com/1882/07/07/archives/steve-raymond-in-custody-a-noted-forger-caught-with-skeleton-keys.html,watch,,m,,,Victim,"Assault, Theft",
NYT,New York,New York,7/7/1882,https://www.nytimes.com/1882/07/07/archives/steve-raymond-in-custody-a-noted-forger-caught-with-skeleton-keys.html,"burglar's tools, key",middle aged,m,,forger,Perpetrator,"Assault, Theft",
The Albany Law Journal; A Weekly Record of the Law and the Lawyers (1870-1908),Jessamine,Kentucky,7/8/1882,http://nuncio.cofc.edu/login?url=https://www.proquest.com/reports/notes/docview/124847611/se-2?accountid=9959,gun,,m,,,Victim,Murder,https://cite.case.law/ky/78/183/
The river press. [volume],Fort Benton,Montana,7/19/1882,https://chroniclingamerica.loc.gov/lccn/sn85053157/1882-07-19/ed-1/seq-3/#words=from+his+pocket,gun,,m,,,Both,Gunshot wound,
Huntsville gazette. [volume],Manitowac,Wisconsin,9/30/1882,https://chroniclingamerica.loc.gov/lccn/sn84020151/1882-09-30/ed-1/seq-1/#words=from+her+pockets,money,,f,,,Victim,"Murder, Theft",
The National Police Gazette (1845-1906),Little Rock,Arkansas,10/21/1882,http://nuncio.cofc.edu/login?url=https://www.proquest.com/magazines/arkansas-terror/docview/127616115/se-2?accountid=9959,money,,m,Black,,Victim,Murder,
